id,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
3882930,17,2014-09-11,2015-10-27,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.06
9186481,0,,,,,,,,,,
5364244,32,2015-03-03,2015-12-25,98.0,10.0,10.0,10.0,10.0,9.0,10.0,3.12
4127196,4,2015-07-09,2015-08-25,90.0,10.0,10.0,10.0,10.0,10.0,10.0,0.67
30712,64,2010-06-22,2015-11-09,81.0,8.0,7.0,9.0,9.0,9.0,8.0,0.95
5632713,16,2015-08-03,2015-12-13,98.0,10.0,10.0,10.0,10.0,10.0,10.0,3.1
2396734,23,2014-03-26,2015-10-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.06
4616634,72,2015-01-29,2015-12-28,99.0,10.0,10.0,10.0,10.0,10.0,10.0,6.33
1175308,2,2013-08-06,2013-08-19,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.07
3157738,10,2014-06-09,2015-09-07,88.0,9.0,9.0,9.0,10.0,10.0,9.0,0.52
8866927,5,2015-12-01,2015-12-29,100.0,10.0,10.0,10.0,10.0,10.0,10.0,4.29
3657819,55,2014-07-27,2015-11-23,97.0,9.0,10.0,10.0,10.0,10.0,9.0,3.13
8212190,7,2015-09-15,2015-12-27,97.0,10.0,8.0,10.0,10.0,10.0,10.0,1.88
9030406,0,,,,,,,,,,
6884820,13,2015-07-26,2015-11-29,86.0,9.0,8.0,9.0,9.0,9.0,8.0,2.39
6821407,38,2015-06-14,2015-11-29,95.0,10.0,10.0,10.0,10.0,10.0,10.0,5.56
9563749,2,2015-11-29,2015-12-15,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.62
6474341,11,2015-06-16,2015-11-28,96.0,10.0,9.0,10.0,9.0,9.0,9.0,1.63
7038750,3,2015-07-27,2015-08-11,100.0,10.0,10.0,10.0,10.0,10.0,9.0,0.56
7824929,6,2015-08-25,2015-10-04,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1.35
2277640,86,2014-05-04,2015-12-12,99.0,10.0,10.0,10.0,10.0,10.0,10.0,4.22
5620306,2,2015-10-04,2015-12-13,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.65
9693971,0,,,,,,,,,,
4739190,19,2014-12-15,2015-09-02,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1.48
5219336,11,2015-05-17,2015-10-16,94.0,10.0,10.0,9.0,10.0,8.0,9.0,1.42
2298775,23,2014-04-16,2015-11-21,94.0,10.0,9.0,10.0,10.0,9.0,10.0,1.1
7455706,4,2015-11-21,2015-12-10,85.0,9.0,9.0,10.0,10.0,10.0,9.0,2.67
1142039,20,2014-10-13,2015-11-17,95.0,9.0,9.0,10.0,10.0,9.0,9.0,1.34
3563218,29,2014-07-17,2015-10-24,92.0,10.0,9.0,10.0,10.0,9.0,9.0,1.62
7789264,9,2015-09-02,2015-12-20,96.0,10.0,10.0,10.0,10.0,10.0,10.0,2.16
